City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
71,uturoa,-16.7333,-151.4333,28.140000000000043,69,40,4.12,PF,Uturoa
72,dazhou,31.2159,107.5009,7.28000000000003,75,100,2.53,CN,Dazhou
73,guichon,-32.35,-57.2,29.950000000000045,46,7,8.02,UY,Guichon
74,mhamid,29.82,-5.72,12.180000000000007,29,0,4.18,MA,Mhamid
75,nizhniy ingash,56.2,96.53,-16.579999999999984,92,100,4.56,RU,Nizhniy Ingash
76,ibirama,-27.0569,-49.5178,24.620000000000005,99,83,0.73,BR,Ibirama
77,talnakh,69.4865,88.3972,-22.919999999999987,97,99,2.99,RU,Talnakh
78,ulsteinvik,62.3432,5.8487,6.28000000000003,90,100,0.89,NO,Ulsteinvik
79,puerto ayacucho,5.6639,-67.6236,30.55000000000001,46,87,3.71,VE,Puerto Ayacucho
80,mount pearl,47.5166,-52.7813,-2.1399999999999864,84,20,13.38,CA,Mount Pearl
81,haiku-pauwela,20.9219,-156.3051,24.590000000000032,69,20,6.69,US,Haiku-Pauwela
82,puerto aysen,-45.4,-72.7,11.080000000000041,86,12,1.63,CL,Puerto Aisén
83,qaqortoq,60.7167,-46.0333,-19.129999999999967,65,86,5.25,GL,Qaqortoq
84,cole harbour,44.6724,-63.4751,-3.92999999999995,75,71,4.93,CA,Cole Harbour
85,port lincoln,-34.7333,135.8667,19.189999999999998,63,20,7.76,AU,Port Lincoln
86,berezovo,63.9381,65.0419,-22.46999999999997,100,96,0.78,RU,Beryozovo
87,hermanus,-34.4187,19.2345,19.75,74,56,2.87,ZA,Hermanus
88,tatarsk,55.219,75.9828,-6.2099999999999795,97,98,1.99,RU,Tatarsk
89,metu,8.3,35.5833,18.010000000000048,60,46,1.02,ET,Metu
90,klyuchi,52.2667,79.1667,-9.92999999999995,98,87,2.95,RU,Klyuchi
91,muravlenko,63.7898,74.523,-19.339999999999975,100,100,3.35,RU,Muravlenko
92,kununurra,-15.7667,128.7333,29.99000000000001,66,95,2.57,AU,Kununurra
93,luderitz,-26.6481,15.1594,16.660000000000025,84,63,11.01,NA,Lüderitz
94,timbiqui,2.7717,-77.6654,26.200000000000045,85,30,5.59,CO,Timbiquí
95,sukumo,32.9333,132.7333,2.910000000000025,57,74,6.69,JP,Sukumo
96,tepecoacuilco de trujano,18.3,-99.4833,32.55000000000001,32,1,1.97,MX,Tepecoacuilco de Trujano
97,prainha,-1.8,-53.48,23.100000000000023,88,99,1.03,BR,Prainha
98,ketchikan,55.3422,-131.6461,1.2600000000000477,18,0,0.0,US,Ketchikan
99,ciudad bolivar,8.1222,-63.5497,29.180000000000007,55,100,6.15,VE,Ciudad Bolivar
100,yellowknife,62.456,-114.3525,-11.439999999999998,92,75,4.63,CA,Yellowknife
101,udachny,66.4167,112.4,-34.099999999999966,93,99,2.43,RU,Udachny
102,yung shue wan,22.2333,114.1167,14.230000000000018,76,48,0.45,HK,Yung Shue Wan
103,xiongzhou,25.1167,114.3,6.850000000000023,63,2,0.93,CN,Xiongzhou
104,westport,41.1415,-73.3579,1.8700000000000045,48,0,6.69,US,Westport
105,afaahiti,-17.75,-149.2833,27.28000000000003,69,12,0.98,PF,Afaahiti
106,puerto ayora,-0.7393,-90.3518,24.75,98,60,1.79,EC,Puerto Ayora
107,hacibektas,38.9408,34.5577,-2.2299999999999613,86,100,3.09,TR,Hacıbektaş
108,nova vicosa,-17.8919,-39.3719,25.05000000000001,85,0,4.16,BR,Nova Viçosa
109,naxos,37.1056,25.3764,10.720000000000027,32,56,14.31,GR,Naxos
110,san patricio,28.017,-97.5169,23.970000000000027,86,93,4.57,US,San Patricio
111,coruripe,-10.1256,-36.1756,26.010000000000048,72,2,4.81,BR,Coruripe
112,raduzhny,62.0961,77.475,-23.269999999999982,100,95,1.45,RU,Raduzhny
113,ribeira grande,38.5167,-28.7,17.650000000000034,96,100,9.83,PT,Ribeira Grande
114,bilibino,68.0546,166.4372,-38.41999999999999,99,54,0.73,RU,Bilibino
115,shimoda,34.6667,138.95,3.7800000000000296,60,0,12.88,JP,Shimoda
116,portland,45.5234,-122.6762,6.660000000000025,71,0,2.57,US,Portland
117,floro,61.5996,5.0328,5.980000000000018,93,100,3.6,NO,Florø
118,yingshang chengguanzhen,32.6295,116.2701,1.4800000000000182,53,52,5.23,CN,Yingshang Chengguanzhen
119,saldanha,-33.0117,17.9442,18.350000000000023,88,6,4.45,ZA,Saldanha
120,isafjordur,66.0755,-23.124,-2.4499999999999886,70,73,9.62,IS,Isafjordur
121,carnarvon,-24.8667,113.6333,27.060000000000002,75,60,2.58,AU,Carnarvon
122,smithers,54.7804,-127.1743,-13.819999999999993,51,0,0.0,CA,Smithers
123,constantia,44.1833,28.65,-0.6200000000000045,68,10,4.92,RO,Constanța
124,selfoss,63.9331,-20.9971,-0.5299999999999727,62,93,14.47,IS,Selfoss
125,aktau,43.65,51.2,-2.67999999999995,64,56,4.28,KZ,Aktau
126,rongelap,11.1635,166.8941,26.55000000000001,80,99,8.76,MH,Rongelap
127,alotau,-10.3069,150.4462,28.980000000000018,76,100,3.63,PG,Alotau
128,san antonio de pale,-1.4014,5.6325,27.379999999999995,81,17,4.11,GQ,San Antonio de Palé
129,piacabucu,-10.4056,-36.4344,26.53000000000003,71,7,4.61,BR,Piaçabuçu
130,ulladulla,-35.35,150.4667,22.980000000000018,77,66,5.7,AU,Ulladulla
131,fort bragg,35.139,-79.006,19.33000000000004,62,0,3.33,US,Fort Bragg
132,akobo,7.4344,3.9497,27.05000000000001,63,32,1.58,NG,Akobo
133,nova sintra,14.8667,-24.7167,21.620000000000005,70,88,8.72,CV,Nova Sintra
134,saipan,15.1355,145.701,29.390000000000043,76,20,6.17,MP,Saipan
135,kez,57.8979,53.7152,-7.71999999999997,96,100,2.87,RU,Kez
136,turpan,42.9333,89.1667,-3.3700000000000045,45,2,0.58,CN,Turpan
137,chetwayi,10.5333,76.05,22.810000000000002,88,9,2.89,IN,Chetwayi
138,broome,42.2506,-75.833,-3.519999999999982,76,100,7.2,US,Broome
139,lebu,-37.6167,-73.65,15.770000000000039,79,19,0.37,CL,Lebu
140,queenstown,-31.8976,26.8753,25.29000000000002,42,95,2.73,ZA,Queenstown
141,port alfred,-33.5906,26.891,22.879999999999995,95,82,1.34,ZA,Port Alfred
142,dudinka,69.4058,86.1778,-29.809999999999974,95,90,0.96,RU,Dudinka
143,georgetown,5.4112,100.3354,26.960000000000036,72,20,3.09,MY,George Town
144,rio grande,-32.035,-52.0986,24.860000000000014,90,1,6.12,BR,Rio Grande
145,skovorodino,53.9833,123.9167,-34.39999999999998,100,41,1.52,RU,Skovorodino
146,hassi messaoud,31.6804,6.0729,6.920000000000016,53,0,1.03,DZ,Hassi Messaoud
147,colonia,50.9333,6.95,-0.5299999999999727,87,18,1.54,DE,Cologne
148,mahajanga,-15.7167,46.3167,23.010000000000048,100,40,2.06,MG,Mahajanga
149,st. john's,47.5649,-52.7093,-1.67999999999995,81,20,13.38,CA,St. John's
150,kristiansund,63.1115,7.732,6.180000000000007,93,100,8.75,NO,Kristiansund
151,anna regina,7.2644,-58.5077,24.560000000000002,85,28,3.07,GY,Anna Regina
152,chibougamau,49.9168,-74.3659,-21.20999999999998,71,20,5.14,CA,Chibougamau
153,flying fish cove,-10.4217,105.6791,25.82000000000005,100,100,6.17,CX,Flying Fish Cove
154,marka,1.7159,44.7717,23.83000000000004,87,85,7.92,SO,Merca
155,geraldton,-28.7667,114.6,24.230000000000018,83,3,2.06,AU,Geraldton
156,tazacorte,28.629,-17.9293,17.54000000000002,76,75,5.14,ES,Tazacorte
157,obo,5.3998,26.4869,24.680000000000007,33,62,0.93,CF,Obo
158,amahai,-3.3333,128.9167,27.49000000000001,74,100,1.29,ID,Amahai
159,the bottom,17.6259,-63.2492,24.150000000000034,69,13,7.35,BQ,The Bottom
160,egilsstadir,65.2653,-14.3948,-4.339999999999975,92,51,4.53,IS,Egilsstadir
161,anta,25.15,76.3,13.53000000000003,39,0,3.57,IN,Anta
162,chos malal,-37.3781,-70.2709,22.30000000000001,22,82,4.83,AR,Chos Malal
163,mana,5.6592,-53.7767,25.30000000000001,85,100,3.76,GF,Mana
164,al jawf,29.5,38.75,13.53000000000003,20,61,4.19,SA,Al Jawf
165,novi grad,45.0458,16.3803,-0.8799999999999955,77,1,0.23,BA,Novi Grad
166,la passe,45.5549,-0.8967,7.0400000000000205,75,1,0.54,FR,La Passe
167,cill airne,52.05,-9.5167,5.07000000000005,82,25,3.46,IE,Killarney
168,stanley,54.868,-1.6985,4.180000000000007,80,10,4.12,GB,Stanley
169,rio gallegos,-51.6226,-69.2181,17.03000000000003,27,0,5.66,AR,Río Gallegos
170,ahfir,34.9537,-2.1003,10.340000000000032,84,11,0.46,MA,Ahfir
171,kerikeri,-35.2268,173.9474,24.33000000000004,52,7,3.05,NZ,Kerikeri
172,longyearbyen,78.2186,15.6401,-3.089999999999975,68,20,14.92,SJ,Longyearbyen
173,enewetak,11.3474,162.3373,26.75,71,97,8.67,MH,Enewetak
174,masindi,1.6744,31.715,22.390000000000043,33,74,0.57,UG,Masindi
175,adrar,20.5022,-10.0711,15.410000000000025,23,0,4.19,MR,Adrar
176,kailua-kona,19.6406,-155.9956,26.27000000000004,64,5,0.45,US,Kailua-Kona
177,port-cartier,50.0334,-66.8654,-12.71999999999997,70,31,6.05,CA,Port-Cartier
178,west island,-12.1568,96.8225,27.99000000000001,89,20,5.14,CC,West Island
179,vernon,50.2581,-119.2691,-9.579999999999984,59,99,6.26,CA,Vernon
180,tralee,52.2704,-9.7026,6.03000000000003,78,82,5.64,IE,Tralee
181,avarua,-21.2078,-159.775,29.03000000000003,79,92,5.14,CK,Avarua
182,lakota,5.8528,-5.6883,22.30000000000001,64,21,0.99,CI,Lakota
183,nemuro,43.3236,145.575,-0.3499999999999659,68,41,10.81,JP,Nemuro
184,cadale,2.7603,46.3222,23.810000000000002,87,96,8.71,SO,Cadale
185,qalat,32.1058,66.9083,0.28000000000002956,60,3,1.46,AF,Qalāt
186,quang ngai,15.1167,108.8,18.33000000000004,93,75,1.2,VN,Quang Ngai
187,necochea,-38.5473,-58.7368,17.120000000000005,54,0,6.7,AR,Necochea
188,cestos city,5.46,-9.5828,26.410000000000025,83,34,3.0,LR,River Cess
189,punta arenas,-53.15,-70.9167,11.060000000000002,66,0,11.32,CL,Punta Arenas
190,mildura,-34.2,142.15,24.480000000000018,61,0,5.68,AU,Mildura
191,vadso,70.0744,29.7487,-11.909999999999968,72,100,6.69,NO,Vadsø
192,ujae,8.9322,165.7642,27.160000000000025,81,76,10.65,MH,Ujae
193,castillos,-34.1667,-53.8333,23.470000000000027,93,88,3.43,UY,Castillos
194,miandrivazo,-19.5167,45.4667,25.600000000000023,89,100,2.74,MG,Miandrivazo
195,coquimbo,-29.9533,-71.3436,16.850000000000023,94,20,3.6,CL,Coquimbo
196,howrah,22.5892,88.3103,19.0,82,40,0.0,IN,Howrah
197,farafangana,-22.8167,47.8333,25.189999999999998,91,96,2.21,MG,Farafangana
198,trincomalee,8.5711,81.2335,27.110000000000014,68,70,5.4,LK,Trincomalee
199,oak island,33.9166,-78.1611,15.610000000000014,81,0,2.06,US,Oak Island
200,bamboo flat,11.7,92.7167,24.30000000000001,77,12,2.91,IN,Bamboo Flat
201,invercargill,-46.4,168.35,20.57000000000005,65,94,2.68,NZ,Invercargill
202,quesnel,52.9999,-122.5029,-15.71999999999997,66,0,1.03,CA,Quesnel
203,chui,-33.6971,-53.4616,24.390000000000043,92,61,3.78,UY,Chui
204,prince rupert,54.3161,-130.3201,-3.8799999999999955,42,0,4.2,CA,Prince Rupert
205,hasaki,35.7333,140.8333,4.939999999999998,40,0,5.4,JP,Hasaki
206,axim,4.8699,-2.2405,26.860000000000014,85,57,3.91,GH,Esim
207,padang,-0.9492,100.3543,25.03000000000003,78,98,2.2,ID,Padang
208,celestun,20.8667,-90.4,25.420000000000016,72,12,9.09,MX,Celestún
209,qui nhon,13.7667,109.2333,18.700000000000045,93,78,3.43,VN,Qui Nhon
210,jayapura,-2.5333,140.7,28.660000000000025,66,95,0.88,ID,Jayapura
211,angaur state,6.906,134.13,25.80000000000001,85,100,6.87,PW,Angaur State
212,tosontsengel,48.7567,98.2839,-27.99999999999997,99,100,2.18,MN,Tosontsengel
213,hegang,47.4,130.3667,-20.039999999999964,79,100,4.87,CN,Hegang
214,port saint john's,-31.6229,29.5448,26.07000000000005,86,73,0.92,ZA,Port Saint John's
215,boende,-0.2167,20.8667,24.610000000000014,70,100,1.57,CD,Boende
216,arta,39.1606,20.9853,11.5,70,83,2.97,GR,Arta
217,college,64.8569,-147.8028,-10.849999999999966,78,100,0.0,US,College
218,santa clara,22.4,-79.9667,21.04000000000002,88,98,4.16,CU,Santa Clara
219,tsiombe,-25.3,45.4833,23.82000000000005,74,74,5.84,MG,Tsiombe
220,champerico,14.3,-91.9167,28.090000000000032,70,0,3.9,GT,Champerico
221,fort stockton,30.894,-102.8793,27.03000000000003,27,0,9.26,US,Fort Stockton
222,kuanda,56.3161,116.0806,-26.94999999999999,95,100,0.6,RU,Kuanda
223,dwarka,22.2394,68.9678,19.53000000000003,55,0,4.67,IN,Dwārka
224,konarka,19.9,86.1167,24.410000000000025,88,100,3.33,IN,Konark
225,suamico,44.6319,-88.0393,-9.419999999999959,68,20,2.06,US,Suamico
226,kidal,18.4411,1.4078,23.210000000000036,25,100,3.07,ML,Kidal
227,prabumulih,-3.45,104.25,22.82000000000005,97,100,1.29,ID,Prabumulih
228,tiksi,71.6872,128.8694,-26.869999999999976,89,100,2.66,RU,Tiksi
229,fale old settlement,-9.3852,-171.2468,28.74000000000001,67,26,6.19,TK,Fale old settlement
230,rakovski,42.3,24.9667,-0.07999999999998408,77,100,1.08,BG,Rakovski
231,kargasok,59.0556,80.8572,-23.47999999999999,100,49,0.86,RU,Kargasok
232,pailon,-17.65,-62.75,27.80000000000001,65,100,3.62,BO,Pailón
233,kapa'a,22.0752,-159.319,24.180000000000007,55,0,8.23,US,Kapaa
234,settat,33.0007,-7.6204,6.860000000000014,86,1,4.07,MA,Settat
235,beaufort west,-32.3567,22.583,23.03000000000003,51,52,2.22,ZA,Beaufort West
236,east london,-33.0153,27.9116,25.210000000000036,92,91,3.57,ZA,East London
237,manismata,-2.4667,111.0333,25.27000000000004,87,85,1.7,ID,Manismata
238,puerto baquerizo moreno,-0.9,-89.6,24.660000000000025,84,25,4.08,EC,Puerto Baquerizo Moreno
239,kaspiyskiy,45.3929,47.3707,1.9800000000000182,97,100,8.09,RU,Lagan
240,nuku'alofa,-21.1333,-175.2,24.189999999999998,94,100,3.09,TO,Nuku'alofa
241,governador valadares,-18.8511,-41.9494,24.49000000000001,64,16,1.78,BR,Governador Valadares
242,ingeniero jacobacci,-41.3427,-69.5448,18.450000000000045,43,55,7.52,AR,Ingeniero Jacobacci
243,kapuskasing,49.4169,-82.4331,-22.399999999999977,100,98,1.49,CA,Kapuskasing
244,port blair,11.6667,92.75,24.960000000000036,77,12,3.1,IN,Port Blair
245,siran,40.1894,39.1267,-4.6299999999999955,94,100,1.78,TR,Şiran
246,lubango,-14.9172,13.4925,16.439999999999998,96,100,0.52,AO,Lubango
247,aasiaat,68.7098,-52.8699,-22.289999999999964,96,100,1.89,GL,Aasiaat
248,zaragoza,41.6561,-0.8773,8.580000000000041,59,0,5.14,ES,Zaragoza
249,alofi,-19.0595,-169.9187,26.939999999999998,89,100,2.57,NU,Alofi
250,kangding,30.0513,101.9603,2.4700000000000273,70,28,1.22,CN,Kangding
251,buka,40.8108,69.1986,2.590000000000032,54,80,0.92,UZ,Bo`ka
252,kantunilkin,21.0917,-87.45,23.850000000000023,73,61,1.82,MX,Kantunilkín
253,wotje,9.4543,170.2367,26.79000000000002,84,92,10.57,MH,Wotje
254,saint-pierre,-21.3393,55.4781,25.82000000000005,89,0,2.57,RE,Saint-Pierre
255,bel ombre,-4.6167,55.4167,26.379999999999995,79,35,4.91,SC,Bel Ombre
256,al fuwayliq,26.4432,43.2534,16.370000000000005,28,70,5.05,SA,Al Fuwayliq
